,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,14245000.0,19912000.0,-7325000.0,28512000.0,
Tax Rate For Calcs,0.259,0.262,0.293,0.297,
Total Unusual Items,55000000.0,76000000.0,-25000000.0,96000000.0,
Total Unusual Items Excluding Goodwill,55000000.0,76000000.0,-25000000.0,96000000.0,
Net Income From Continuing Operation Net Minority Interest,12225000000.0,11688000000.0,8028000000.0,9161000000.0,
Reconciled Depreciation,8055000000.0,7272000000.0,6245000000.0,6465000000.0,
Net Interest Income,21203000000.0,19524000000.0,19058000000.0,20933000000.0,
Interest Expense,50329000000.0,63496000000.0,60484000000.0,20149000000.0,
Interest Income,71532000000.0,83020000000.0,79542000000.0,41082000000.0,
Normalized Income,12184245000.0,11631912000.0,8045675000.0,9121512000.0,
Net Income From Continuing And Discontinued Operation,12225000000.0,11688000000.0,10975000000.0,9848000000.0,
Diluted Average Shares,1188046647.0,1133302357.0,1200367337.0,1232991607.0,
Basic Average Shares,1188046647.0,1133302357.0,1200367337.0,1232991607.0,
Diluted EPS,10.29,9.57,8.58,7.52,
Basic EPS,10.29,9.57,8.58,7.52,
Diluted NI Availto Com Stockholders,11520000000.0,10843000000.0,10298000000.0,9273000000.0,
Net Income Common Stockholders,11520000000.0,10843000000.0,10298000000.0,9273000000.0,
Otherunder Preferred Stock Dividend,705000000.0,845000000.0,677000000.0,575000000.0,
Net Income,12225000000.0,11688000000.0,10975000000.0,9848000000.0,
Minority Interests,-633000000.0,-499000000.0,-431000000.0,-400000000.0,
Net Income Including Noncontrolling Interests,12858000000.0,12187000000.0,11406000000.0,10248000000.0,
Net Income Discontinuous Operations,,0.0,2947000000.0,687000000.0,720000000.0
Net Income Continuous Operations,12858000000.0,12187000000.0,8459000000.0,9561000000.0,
Tax Provision,4207000000.0,4001000000.0,3266000000.0,3653000000.0,
Pretax Income,17065000000.0,16188000000.0,11725000000.0,13214000000.0,
Special Income Charges,-12000000.0,16000000.0,-123000000.0,-52000000.0,
Other Special Charges,56000000.0,191000000.0,104000000.0,253000000.0,
Write Off,,,,17000000.0,-12000000.0
Impairment Of Capital Assets,4000000.0,34000000.0,19000000.0,20000000.0,
Restructuring And Mergern Acquisition,-48000000.0,-241000000.0,0.0,-249000000.0,
Gain On Sale Of Security,-1253000000.0,33000000.0,-3410000000.0,11439000000.0,
Operating Expense,49005000000.0,47403000000.0,44818000000.0,41885000000.0,
Other Operating Expenses,11086000000.0,11428000000.0,12999000000.0,12702000000.0,
Depreciation And Amortization In Income Statement,2367000000.0,2356000000.0,2224000000.0,2284000000.0,
Depreciation Income Statement,2367000000.0,2356000000.0,2224000000.0,2284000000.0,
Selling General And Administration,,,,10447000000.0,9679000000.0
General And Administrative Expense,,,,10447000000.0,9679000000.0
Insurance And Claims,-288000000.0,-253000000.0,-283000000.0,-343000000.0,
Rent And Landing Fees,16703000000.0,15729000000.0,12103000000.0,10365000000.0,
Total Revenue,68804000000.0,65870000000.0,59735000000.0,57477000000.0,
Operating Revenue,68804000000.0,65870000000.0,59735000000.0,57477000000.0,
