,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-197889703.468651,-91619141.588555,-160176000.0,-255596000.0,
Tax Rate For Calcs,0.210745,0.216083,0.188,0.148,
Total Unusual Items,-939000000.0,-424000000.0,-852000000.0,-1727000000.0,
Total Unusual Items Excluding Goodwill,-939000000.0,-424000000.0,-852000000.0,-1727000000.0,
Net Income From Continuing Operation Net Minority Interest,7172000000.0,6307000000.0,5259000000.0,5928000000.0,
Reconciled Depreciation,1756000000.0,1700000000.0,1784000000.0,1723000000.0,
Net Interest Income,14501000000.0,12936000000.0,12709000000.0,10572000000.0,
Interest Expense,21688000000.0,25390000000.0,22366000000.0,8524000000.0,
Interest Income,36189000000.0,38326000000.0,35075000000.0,19096000000.0,
Normalized Income,7913110296.531349,6639380858.411445,5950824000.0,7399404000.0,
Net Income From Continuing And Discontinued Operation,7172000000.0,6307000000.0,5259000000.0,5928000000.0,
Diluted Average Shares,14604000000.0,15271000000.0,15895000000.0,16867000000.0,
Basic Average Shares,14112000000.0,14755000000.0,15445000000.0,16333000000.0,
Diluted EPS,0.423,0.348,0.269,0.298,
Basic EPS,0.438,0.36,0.277,0.308,
Diluted NI Availto Com Stockholders,6175000000.0,5316000000.0,4274000000.0,5023000000.0,
Net Income Common Stockholders,6175000000.0,5316000000.0,4274000000.0,5023000000.0,
Otherunder Preferred Stock Dividend,997000000.0,991000000.0,985000000.0,905000000.0,
Net Income,7172000000.0,6307000000.0,5259000000.0,5928000000.0,
Minority Interests,-41000000.0,-49000000.0,-64000000.0,-45000000.0,
Net Income Including Noncontrolling Interests,7213000000.0,6356000000.0,5323000000.0,5973000000.0,
Net Income Extraordinary,,,,,-804000000.0
Net Income Continuous Operations,7213000000.0,6356000000.0,5323000000.0,5973000000.0,
Tax Provision,1926000000.0,1752000000.0,1234000000.0,1039000000.0,
Pretax Income,9139000000.0,8108000000.0,6557000000.0,7012000000.0,
Special Income Charges,-939000000.0,-424000000.0,-852000000.0,-1727000000.0,
Other Special Charges,720000000.0,502000000.0,37000000.0,1671000000.0,
Impairment Of Capital Assets,20000000.0,34000000.0,363000000.0,63000000.0,
Restructuring And Mergern Acquisition,199000000.0,-112000000.0,452000000.0,-7000000.0,
Gain On Sale Of Security,10000000.0,433000000.0,61000000.0,-391000000.0,
Operating Expense,16849000000.0,15964000000.0,16079000000.0,15077000000.0,
Other Operating Expenses,28000000.0,38000000.0,180000000.0,176000000.0,
Depreciation And Amortization In Income Statement,1756000000.0,1700000000.0,1784000000.0,1723000000.0,
Depreciation Income Statement,1756000000.0,1700000000.0,1784000000.0,1723000000.0,
Selling General And Administration,2729000000.0,2770000000.0,2602000000.0,2270000000.0,
Selling And Marketing Expense,618000000.0,649000000.0,585000000.0,500000000.0,
General And Administrative Expense,2111000000.0,2121000000.0,2017000000.0,1770000000.0,
Rent And Landing Fees,1928000000.0,1815000000.0,1948000000.0,1649000000.0,
Total Revenue,29140000000.0,26230000000.0,25384000000.0,25021000000.0,
Operating Revenue,29140000000.0,26230000000.0,25384000000.0,25021000000.0,
