,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-96690576.508067,-854687582.687583,-149660000.0,-10350000.0
Tax Rate For Calcs,0.266365,0.337554,0.14,0.15
Total Unusual Items,-363000000.0,-2532000000.0,-1069000000.0,-69000000.0
Total Unusual Items Excluding Goodwill,-363000000.0,-2532000000.0,-1069000000.0,-69000000.0
Net Income From Continuing Operation Net Minority Interest,6931000000.0,3366000000.0,4772000000.0,5525000000.0
Net Interest Income,15690000000.0,13064000000.0,13602000000.0,13650000000.0
Interest Expense,28768000000.0,36292000000.0,30473000000.0,10649000000.0
Interest Income,44458000000.0,49356000000.0,44075000000.0,24299000000.0
Normalized Income,7197309423.491933,5043312417.312417,5691340000.0,5583650000.0
Net Income From Continuing And Discontinued Operation,6931000000.0,3366000000.0,4772000000.0,5525000000.0
Diluted Average Shares,1939573264.0,2039300000.0,2104000000.0,2125600000.0
Basic Average Shares,1939573264.0,1993600000.0,2064100000.0,2084900000.0
Diluted EPS,3.156364,1.37,2.03,2.37
Basic EPS,3.156364,1.4,2.07,2.42
Diluted NI Availto Com Stockholders,6171000000.0,2792000000.0,4274000000.0,5046000000.0
Average Dilution Earnings,0.0,0.0,0.0,0.0
Net Income Common Stockholders,6171000000.0,2792000000.0,4274000000.0,5046000000.0
Otherunder Preferred Stock Dividend,760000000.0,574000000.0,498000000.0,479000000.0
Net Income,6931000000.0,3366000000.0,4772000000.0,5525000000.0
Minority Interests,-208000000.0,-139000000.0,-119000000.0,-134000000.0
Net Income Including Noncontrolling Interests,7139000000.0,3505000000.0,4892000000.0,5659000000.0
Net Income Continuous Operations,7139000000.0,3505000000.0,4891000000.0,5658000000.0
Tax Provision,2592000000.0,1786000000.0,787000000.0,-64000000.0
Pretax Income,9731000000.0,5291000000.0,5678000000.0,5594000000.0
Special Income Charges,-363000000.0,-2532000000.0,-1069000000.0,-69000000.0
Other Special Charges,180000000.0,2003000000.0,270000000.0,9000000.0
Impairment Of Capital Assets,0.0,0.0,233000000.0,68000000.0
Restructuring And Mergern Acquisition,183000000.0,529000000.0,566000000.0,-8000000.0
Gain On Sale Of Security,120000000.0,871000000.0,1055000000.0,-144000000.0
Selling General And Administration,18210000000.0,18380000000.0,18029000000.0,16979000000.0
Selling And Marketing Expense,195000000.0,149000000.0,203000000.0,165000000.0
General And Administrative Expense,18015000000.0,18231000000.0,17826000000.0,16814000000.0
Other Gand A,6202000000.0,6500000000.0,6695000000.0,6102000000.0
Salaries And Wages,11813000000.0,11731000000.0,11131000000.0,10712000000.0
Total Revenue,32099000000.0,30047000000.0,28875000000.0,26656000000.0
Operating Revenue,32099000000.0,30047000000.0,28875000000.0,26656000000.0
Occupancy And Equipment,1463000000.0,1624000000.0,1478000000.0,1429000000.0
Professional Expense And Contract Services Expense,671000000.0,763000000.0,899000000.0,858000000.0
Other Non Interest Expense,-50000000.0,-360000000.0,182000000.0,652000000.0
